warehouse,date,total_orders
EW1,10/08/2021,455
EW1,11/08/2021,553
EW1,12/08/2021,569
EW1,13/08/2021,426
EW1,14/08/2021,536
EW1,15/08/2021,628
EW1,16/08/2021,18
EW1,17/08/2021,852
EW1,19/08/2021,4
EW1,20/08/2021,713
EW1,21/08/2021,675
EW1,22/08/2021,798
EW1,23/08/2021,544
EW1,24/08/2021,666
EW1,25/08/2021,687
EW1,26/08/2021,667
EW1,27/08/2021,650
EW1,28/08/2021,939
EW1,29/08/2021,603
EW1,30/08/2021,720
EW1,31/08/2021,727
EW1,01/09/2021,664
EW1,02/09/2021,1148
EW1,03/09/2021,984
EW1,04/09/2021,1346
EW1,05/09/2021,1448
EW1,06/09/2021,1379
EW1,07/09/2021,1196
EW1,08/09/2021,515
EW1,09/09/2021,1006
EW1,10/09/2021,420
EW1,11/09/2021,389
EW1,12/09/2021,363
EW1,13/09/2021,418
EW1,14/09/2021,365
EW1,15/09/2021,205
EW1,16/09/2021,238
EW1,17/09/2021,217
EW1,18/09/2021,161
EW1,19/09/2021,224
EW1,20/09/2021,199
EW1,21/09/2021,230
EW1,22/09/2021,140
EW1,23/09/2021,205
EW1,24/09/2021,159
EW1,25/09/2021,151
EW1,26/09/2021,212
EW1,27/09/2021,184
EW1,28/09/2021,17
EW1,29/09/2021,293
EW1,30/09/2021,540
EW1,01/10/2021,257
EW1,02/10/2021,309
EW1,03/10/2021,236
EW1,04/10/2021,389
EW1,05/10/2021,314
EW1,06/10/2021,369
EW1,07/10/2021,419
EW1,08/10/2021,390
EW1,09/10/2021,426
EW1,10/10/2021,470
EW1,11/10/2021,489
EW1,12/10/2021,472
EW1,13/10/2021,409
EW1,14/10/2021,383
EW1,15/10/2021,369
EW1,16/10/2021,579
EW1,17/10/2021,537
EW1,18/10/2021,445
EW1,19/10/2021,288
EW1,20/10/2021,379
EW1,21/10/2021,382
EW1,22/10/2021,543
EW1,23/10/2021,499
EW1,24/10/2021,507
EW1,25/10/2021,433
EW1,26/10/2021,565
EW1,27/10/2021,506
EW1,28/10/2021,382
EW1,29/10/2021,461
EW1,30/10/2021,437
EW1,31/10/2021,494
EW1,01/11/2021,441
EW1,02/11/2021,398
EW1,03/11/2021,391
EW1,04/11/2021,386
EW1,05/11/2021,375
EW1,06/11/2021,441
EW1,07/11/2021,421
EW1,08/11/2021,526
EW2,15/09/2021,186
EW2,16/09/2021,199
EW2,17/09/2021,326
EW2,18/09/2021,390
EW2,19/09/2021,353
EW2,20/09/2021,359
EW2,21/09/2021,393
EW2,22/09/2021,395
EW2,23/09/2021,295
EW2,24/09/2021,212
EW2,25/09/2021,324
EW2,26/09/2021,540
EW2,27/09/2021,698
EW2,28/09/2021,23
EW2,29/09/2021,744
EW2,30/09/2021,672
EW2,01/10/2021,358
EW2,02/10/2021,613
EW2,03/10/2021,688
EW2,04/10/2021,757
EW2,05/10/2021,767
EW2,06/10/2021,946
EW2,07/10/2021,1139
EW2,08/10/2021,855
EW2,09/10/2021,897
EW2,10/10/2021,878
EW2,11/10/2021,1157
EW2,12/10/2021,1231
EW2,13/10/2021,1052
EW2,14/10/2021,1241
EW2,15/10/2021,987
EW2,16/10/2021,1364
EW2,17/10/2021,1195
EW2,18/10/2021,1422
EW2,19/10/2021,539
EW2,20/10/2021,1211
EW2,21/10/2021,1197
EW2,22/10/2021,1531
EW2,23/10/2021,1446
EW2,24/10/2021,1119
EW2,25/10/2021,1333
EW2,26/10/2021,1502
EW2,27/10/2021,1513
EW2,28/10/2021,1572
EW2,29/10/2021,1010
EW2,30/10/2021,1451
EW2,31/10/2021,1543
EW2,01/11/2021,1423
EW2,02/11/2021,1728
EW2,03/11/2021,1414
EW2,04/11/2021,1490
EW2,05/11/2021,1067
EW2,06/11/2021,1591
EW2,07/11/2021,1696
EW2,08/11/2021,1537
